,experiment_name,model_name,score
145,ud_pipe_nazev_anotace_stopwords,word2vec_25_25,0.03871
146,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_25_5,0.03868
147,ud_pipe_czech_text,doc2vec_300_10,0.03868
148,ud_pipe_nazev_anotace_stopwords,word2vec_25_50,0.03854
149,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_50_50,0.03852
150,ud_pipe_nazev_anotace_stopwords,fasttext_50_10,0.03828
151,ud_pipe_czech_text,doc2vec_100_50,0.03822
152,ud_pipe_nazev_anotace_stopwords,doc2vec_200_10,0.03788
153,ud_pipe_czech_text,word2vec_25_100,0.03763
154,tf_w2v_d2v_fast_eng_n_a_kwords_2,doc2vec_100_50,0.03759
155,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_50_50,0.03737
156,ud_pipe_nazev_anotace_stopwords,doc2vec_100_25,0.03617
157,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_50_10,0.03609
158,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_50_10,0.03588
159,ud_pipe_czech_text,doc2vec_50_150,0.03582
160,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_100_5,0.03576
161,ud_pipe_czech_text,doc2vec_50_100,0.03575
